file_name,sum,length,diversity
紅樓夢_1.txt.csv,10400,1651,158.75
紅樓夢_10.txt.csv,10103,1538,152.2320102939721
紅樓夢_11.txt.csv,10031,1188,118.43285813976672
紅樓夢_12.txt.csv,10226,1352,132.21200860551536
紅樓夢_13.txt.csv,10378,1291,124.39776450183079
紅樓夢_14.txt.csv,10287,1251,121.6097987751531
紅樓夢_15.txt.csv,10276,1234,120.08563643441028
紅樓夢_16.txt.csv,10128,1208,119.27330173775671
紅樓夢_17.txt.csv,10069,1073,106.5647035455358
紅樓夢_18.txt.csv,10147,1051,103.57741204296836
紅樓夢_19.txt.csv,10506,1171,111.46011802779364
紅樓夢_2.txt.csv,10087,1451,143.84851789431943
紅樓夢_20.txt.csv,10100,1078,106.73267326732673
紅樓夢_21.txt.csv,10321,1248,120.91851564770856
紅樓夢_22.txt.csv,10352,1284,124.03400309119012
紅樓夢_23.txt.csv,10009,1238,123.68868018783095
紅樓夢_24.txt.csv,10314,1156,112.08066705448904
紅樓夢_25.txt.csv,10103,1147,113.5306344650104
紅樓夢_26.txt.csv,10514,1160,110.32908502948449
紅樓夢_27.txt.csv,10110,1112,109.99010880316517
紅樓夢_28.txt.csv,10214,1342,131.38829058155474
紅樓夢_29.txt.csv,10021,1321,131.8231713401856
紅樓夢_3.txt.csv,10150,1638,161.3793103448276
紅樓夢_30.txt.csv,10067,1293,128.439455647164
紅樓夢_31.txt.csv,10043,1250,124.46480135417704
紅樓夢_32.txt.csv,10033,1144,114.02372171832951
紅樓夢_33.txt.csv,10272,1177,114.58333333333333
紅樓夢_34.txt.csv,10015,1207,120.51922116824764
紅樓夢_35.txt.csv,10072,1095,108.71723590150914
紅樓夢_36.txt.csv,10660,1204,112.94559099437149
紅樓夢_37.txt.csv,10137,1212,119.56200059189109
紅樓夢_38.txt.csv,10171,1399,137.54793039032543
紅樓夢_39.txt.csv,10146,1157,114.03508771929823
紅樓夢_4.txt.csv,10070,1126,111.81727904667328
紅樓夢_40.txt.csv,10312,1147,111.22963537626067
紅樓夢_41.txt.csv,10170,1166,114.65093411996067
紅樓夢_42.txt.csv,10525,1378,130.92636579572448
紅樓夢_43.txt.csv,10095,1074,106.3893016344725
紅樓夢_44.txt.csv,10611,1117,105.2681179907643
紅樓夢_45.txt.csv,10955,1211,110.54313099041534
紅樓夢_46.txt.csv,10144,1338,131.9006309148265
紅樓夢_47.txt.csv,10042,1180,117.50647281418044
紅樓夢_48.txt.csv,11091,1797,162.02326210440899
紅樓夢_49.txt.csv,11036,1356,122.87060529177238
紅樓夢_5.txt.csv,11114,1371,123.35792693899586
紅樓夢_50.txt.csv,10456,1070,102.3335883703137
紅樓夢_51.txt.csv,10140,1104,108.87573964497041
紅樓夢_52.txt.csv,10440,1117,106.99233716475095
紅樓夢_53.txt.csv,10151,1273,125.40636390503398
紅樓夢_54.txt.csv,10164,1116,109.79929161747344
紅樓夢_55.txt.csv,10840,1144,105.5350553505535
紅樓夢_56.txt.csv,10172,1182,116.20133700353912
紅樓夢_57.txt.csv,10039,1110,110.56878175117043
紅樓夢_58.txt.csv,10353,1032,99.68125181106925
紅樓夢_59.txt.csv,10429,1113,106.72164157637359
紅樓夢_6.txt.csv,10084,1091,108.19119397064657
紅樓夢_60.txt.csv,10366,1239,119.52537140652132
紅樓夢_61.txt.csv,10085,1280,126.92117005453643
紅樓夢_62.txt.csv,10116,1111,109.82601818900751
紅樓夢_63.txt.csv,10211,1214,118.89139163647047
紅樓夢_64.txt.csv,10320,1130,109.49612403100775
紅樓夢_65.txt.csv,10237,1014,99.05245677444564
紅樓夢_66.txt.csv,10333,1114,107.80992935255976
紅樓夢_67.txt.csv,10387,1043,100.41397901222682
紅樓夢_68.txt.csv,10349,1137,109.86568750603922
紅樓夢_69.txt.csv,10879,1106,101.66375585991359
紅樓夢_7.txt.csv,10075,1419,140.84367245657566
紅樓夢_70.txt.csv,10163,1087,106.9566073009938
紅樓夢_71.txt.csv,10247,1113,108.61715624085099
紅樓夢_8.txt.csv,10187,1401,137.52822224403653
紅樓夢_9.txt.csv,10173,1495,146.95763294996559
